prediction_horizon_sec,link,queue_true,queue_pred,delay_true,delay_pred,prediction_horizon_min,severity_index,severity_level,recommended_strategy
15,L13,0.0,0.0015769601,0.001254234,0.005726807,0.25,7.044103,LOW,Monitor Traffic Conditions
15,L6,0.44569275,0.2557505,0.6005828,0.43557018,0.25,54.585373,HIGH,Diversion Route + Signal Retiming
15,L17,0.0,0.009846367,0.0003980503,0.01688815,0.25,8.421967,LOW,Monitor Traffic Conditions
15,L18,0.0,0.0007549152,0.0021855214,0.0058018267,0.25,6.9779806,LOW,Monitor Traffic Conditions
15,L1,0.0,0.024838515,0.011310637,0.014180116,0.25,9.547743,LOW,Monitor Traffic Conditions
15,L16,0.0,0.00048357993,0.01471284,0.015144046,0.25,7.513437,LOW,Monitor Traffic Conditions
15,L3,0.0,0.016282156,0.009312875,0.018151216,0.25,9.05031,LOW,Monitor Traffic Conditions
20,L19,0.0,0.011184387,0.0008937356,0.010189369,0.3333333333333333,8.136237,LOW,Monitor Traffic Conditions
20,L13,0.0,-0.00014486164,0.002786352,0.0065241084,0.3333333333333333,6.943895,LOW,Monitor Traffic Conditions
20,L6,0.0,0.08020053,0.0017724504,0.112217486,0.3333333333333333,20.1667,LOW,Monitor Traffic Conditions
20,L17,0.0,0.025905348,0.015261099,0.022223473,0.3333333333333333,10.120455,LOW,Monitor Traffic Conditions
20,L18,0.043330688,0.0005971268,0.00784835,0.0067115948,0.3333333333333333,7.0188413,LOW,Monitor Traffic Conditions
20,L1,0.0,0.05255749,0.02705991,0.031200051,0.3333333333333333,12.946624,LOW,Monitor Traffic Conditions
20,L16,0.0049225884,0.023919031,0.0038002538,0.022277504,0.3333333333333333,9.953072,LOW,Monitor Traffic Conditions
20,L3,0.0,0.010529324,0.009951258,0.016682338,0.3333333333333333,8.468318,LOW,Monitor Traffic Conditions
25,L19,0.0,0.02480106,0.0013293378,0.02284538,0.4166666666666667,10.0627985,LOW,Monitor Traffic Conditions
25,L13,0.023521239,0.00029444695,0.021089155,0.011394717,0.4166666666666667,7.2729425,LOW,Monitor Traffic Conditions
25,L6,0.0,0.0030853227,0.093646966,0.040745713,0.4166666666666667,9.268159,LOW,Monitor Traffic Conditions
25,L17,0.0056173084,0.038124934,0.05081525,0.0331461,0.4166666666666667,11.8233385,LOW,Monitor Traffic Conditions
25,L18,0.03697896,0.0017102212,0.023462437,0.010313198,0.4166666666666667,7.3298635,LOW,Monitor Traffic Conditions
25,L1,0.0032155616,0.082942076,0.079504915,0.04343853,0.4166666666666667,16.288486,LOW,Monitor Traffic Conditions
25,L16,0.18874553,0.037373573,0.083410315,0.03158516,0.4166666666666667,11.66544,LOW,Monitor Traffic Conditions
25,L3,0.0,0.01297161,0.07329383,0.016047705,0.4166666666666667,8.64014,LOW,Monitor Traffic Conditions
30,L19,0.0,0.004546888,0.0005557684,-0.00073777884,0.5,6.9125543,LOW,Monitor Traffic Conditions
30,L13,0.0,-0.00047278404,0.0008712044,0.0032650754,0.5,6.7208037,LOW,Monitor Traffic Conditions
30,L6,0.5075228,0.3986114,0.562723,0.47473663,0.5,69.19892,HIGH,Diversion Route + Signal Retiming
30,L17,0.0,0.004922092,0.011310637,0.002998665,0.5,7.16826,LOW,Monitor Traffic Conditions
30,L18,0.0,-0.001821585,0.0020503346,0.0039867014,0.5,6.64811,LOW,Monitor Traffic Conditions
30,L1,0.0,0.02875214,0.00012767651,0.009694599,0.5,9.615622,LOW,Monitor Traffic Conditions
30,L16,0.0012107979,0.043928377,0.021832684,0.01966523,0.5,11.515527,LOW,Monitor Traffic Conditions
30,L3,0.0,0.015830204,0.055719532,0.07924524,0.5,12.665549,LOW,Monitor Traffic Conditions
35,L19,0.0,0.0066044107,0.0019076373,-0.0009134412,0.5833333333333334,7.0787787,LOW,Monitor Traffic Conditions
35,L13,0.0,0.0057570487,0.00039053994,-0.0008012578,0.5833333333333334,7.012704,LOW,Monitor Traffic Conditions
35,L6,0.49630806,0.41955867,0.60228765,0.5204706,0.5833333333333334,73.73355,HIGH,Diversion Route + Signal Retiming
35,L17,0.0,0.005343005,6.0083064e-05,0.007230088,0.5833333333333334,7.4574976,LOW,Monitor Traffic Conditions
35,L18,0.0,0.0039570257,0.0035148594,0.0005546585,0.5833333333333334,6.939189,LOW,Monitor Traffic Conditions
35,L1,0.0,0.022934355,0.011310637,-0.00047007948,0.5833333333333334,8.507951,LOW,Monitor Traffic Conditions
35,L16,0.0,0.020793833,0.00021029073,0.008730568,0.5833333333333334,8.874387,LOW,Monitor Traffic Conditions
35,L3,0.0,0.01931303,0.0068720006,0.006074257,0.5833333333333334,8.588319,LOW,Monitor Traffic Conditions
40,L19,0.0,0.0035425723,0.0021479696,0.002801381,0.6666666666666666,7.0379677,LOW,Monitor Traffic Conditions
40,L13,0.0,0.0041994005,0.00042809185,0.0024947375,0.6666666666666666,7.076045,LOW,Monitor Traffic Conditions
40,L6,0.49771735,0.34398234,0.60720694,0.5096522,0.6666666666666666,66.594894,HIGH,Diversion Route + Signal Retiming
40,L17,0.0,0.005558528,8.261421e-05,0.01047004,0.6666666666666666,7.669793,LOW,Monitor Traffic Conditions
40,L18,0.0,0.004370801,0.0015997116,0.0013140514,0.6666666666666666,7.02015,LOW,Monitor Traffic Conditions
40,L1,0.0,0.030134134,0.011310637,0.008508265,0.6666666666666666,9.663372,LOW,Monitor Traffic Conditions
40,L16,0.0,0.00808765,0.008313994,0.009970307,0.6666666666666666,7.8571415,LOW,Monitor Traffic Conditions
40,L3,0.0,0.010866538,0.005933203,0.0044922084,0.6666666666666666,7.768186,LOW,Monitor Traffic Conditions
45,L19,0.0,0.004662536,0.0013443585,0.009216905,0.75,7.517882,LOW,Monitor Traffic Conditions
45,L13,0.0,0.0026932731,0.00078107987,0.0042294636,0.75,7.0504317,LOW,Monitor Traffic Conditions
45,L6,0.49698293,0.23313108,0.5677925,0.40526143,0.75,50.829704,HIGH,Diversion Route + Signal Retiming
45,L17,0.0,0.019921534,0.00028539455,0.023936715,0.75,9.708947,LOW,Monitor Traffic Conditions
45,L18,0.0,0.0035891235,0.0027563106,0.0031781197,0.75,7.064499,LOW,Monitor Traffic Conditions
45,L1,0.0,0.04202974,0.011310637,0.02159055,0.75,11.467598,LOW,Monitor Traffic Conditions
45,L16,0.0,0.0044769347,0.009755988,0.013683476,0.75,7.769087,LOW,Monitor Traffic Conditions
45,L3,0.0,0.0062508136,0.009110095,0.0069139004,0.75,7.516563,LOW,Monitor Traffic Conditions
50,L19,0.0,0.012625441,0.0010439432,0.010922201,0.8333333333333334,8.303847,LOW,Monitor Traffic Conditions
50,L13,0.0,0.00092884153,0.0022305837,0.00805743,0.8333333333333334,7.127829,LOW,Monitor Traffic Conditions
50,L6,0.0,0.1276173,0.0019151476,0.13493355,0.8333333333333334,25.598207,MODERATE,Activate VMS + Traveler Information
50,L17,0.0,0.031722523,0.018655792,0.029246751,0.8333333333333334,11.040184,LOW,Monitor Traffic Conditions
50,L18,0.05041683,0.0005361289,0.0070447396,0.0063795,0.8333333333333334,6.993739,LOW,Monitor Traffic Conditions
50,L1,0.0,0.05960936,0.024491359,0.03443155,0.8333333333333334,13.74562,LOW,Monitor Traffic Conditions
50,L16,0.0,0.017308772,0.0051070605,0.0173391,0.8333333333333334,9.089918,LOW,Monitor Traffic Conditions
50,L3,0.0,0.008120015,0.018137576,0.012073137,0.8333333333333334,7.9856925,LOW,Monitor Traffic Conditions
55,L19,0.0,0.023457333,0.00081112137,0.021246403,0.9166666666666666,9.851744,LOW,Monitor Traffic Conditions
55,L13,0.0,0.0020209998,0.008982418,0.014980692,0.9166666666666666,7.635723,LOW,Monitor Traffic Conditions
55,L6,0.0,0.025416695,0.10910334,0.03744821,0.9166666666666666,10.98908,LOW,Monitor Traffic Conditions
55,L17,0.0,0.04060266,0.030064063,0.03369395,0.9166666666666666,12.06893,LOW,Monitor Traffic Conditions
55,L18,0.20591505,-0.0025365725,0.004566313,0.010166369,0.9166666666666666,6.9563046,LOW,Monitor Traffic Conditions
55,L1,0.0064311232,0.08373966,0.09025227,0.043134034,0.9166666666666666,16.338783,LOW,Monitor Traffic Conditions
55,L16,0.07764986,0.028310463,0.04525757,0.024303973,0.9166666666666666,10.451475,LOW,Monitor Traffic Conditions
55,L3,0.0,0.017865092,0.062914476,0.019722808,0.9166666666666666,9.280273,LOW,Monitor Traffic Conditions
60,L19,0.0,0.0053352043,0.0002703738,-0.0012664646,1.0,6.9486456,LOW,Monitor Traffic Conditions
60,L13,0.0,0.00256183,0.00068344484,0.0003964752,1.0,6.809889,LOW,Monitor Traffic Conditions
60,L6,0.49519652,0.42436615,0.61463475,0.47954226,1.0,71.69855,HIGH,Diversion Route + Signal Retiming
60,L17,0.0,0.010674685,1.5020766e-05,-1.757592e-05,1.0,7.4819746,LOW,Monitor Traffic Conditions
60,L18,0.0,-0.0018711761,0.0028990079,0.0037773773,1.0,6.6313295,LOW,Monitor Traffic Conditions
60,L1,0.0,0.017184548,0.011310637,0.002844222,1.0,8.212303,LOW,Monitor Traffic Conditions
60,L16,0.0,0.018703252,0.003822785,0.005170338,1.0,8.481877,LOW,Monitor Traffic Conditions
60,L3,0.0,0.018777981,0.064221285,0.054618128,1.0,11.445789,LOW,Monitor Traffic Conditions
65,L19,0.0,0.00668294,0.0038378057,-0.00083583593,1.0833333333333333,7.0901656,LOW,Monitor Traffic Conditions
65,L13,0.0,0.005555369,0.00068344484,-0.0005737245,1.0833333333333333,7.0089893,LOW,Monitor Traffic Conditions
65,L6,0.46843985,0.41741136,0.49176487,0.5494925,1.0833333333333333,75.28492,CRITICAL,Full Detour + Emergency Response
65,L17,0.0,0.006770216,0.0003154361,0.0036407784,1.0833333333333333,7.36541,LOW,Monitor Traffic Conditions
65,L18,0.0,0.00085522234,0.0039729928,0.003278762,1.0833333333333333,6.835691,LOW,Monitor Traffic Conditions
65,L1,0.0,0.01687222,0.011310637,0.0039919913,1.0833333333333333,8.254125,LOW,Monitor Traffic Conditions
65,L16,0.0005160778,0.0070083737,0.020856334,0.006074108,1.0833333333333333,7.5314045,LOW,Monitor Traffic Conditions
65,L3,0.0,0.025372058,0.008546816,0.01324578,1.0833333333333333,9.537687,LOW,Monitor Traffic Conditions
70,L19,0.0,0.0025180504,0.0024859367,0.0030432194,1.1666666666666667,6.964431,LOW,Monitor Traffic Conditions
70,L13,0.0,0.0043443367,0.0010589641,0.0021846741,1.1666666666666667,7.069949,LOW,Monitor Traffic Conditions
70,L6,0.49747917,0.2747969,0.5711646,0.42957443,1.1666666666666667,55.862747,HIGH,Diversion Route + Signal Retiming
70,L17,0.0,0.001980178,0.00012767651,0.0072758347,1.1666666666666667,7.171385,LOW,Monitor Traffic Conditions
70,L18,0.0,0.0031153113,0.002606103,0.002617389,1.1666666666666667,6.9902635,LOW,Monitor Traffic Conditions
70,L1,0.0,0.027648449,0.011310637,0.013454463,1.1666666666666667,9.745699,LOW,Monitor Traffic Conditions
70,L16,0.0,0.004531622,0.004003034,0.011631034,1.1666666666666667,7.651027,LOW,Monitor Traffic Conditions
70,L3,0.0,0.011408448,0.0076305494,0.007907726,1.1666666666666667,8.019016,LOW,Monitor Traffic Conditions
75,L19,0.0,0.0056224093,0.0013068067,0.01014071,1.25,7.6555824,LOW,Monitor Traffic Conditions
75,L13,0.0,0.0021071583,0.0016447739,0.004402302,1.25,7.010425,LOW,Monitor Traffic Conditions
75,L6,0.49986106,0.23240763,0.53534013,0.36737156,1.25,48.501358,MODERATE,Activate VMS + Traveler Information
75,L17,0.0,0.018274829,0.0005332372,0.01974548,1.25,9.316824,LOW,Monitor Traffic Conditions
75,L18,0.0,0.0024422854,0.0039279303,0.0041427463,1.25,7.0236864,LOW,Monitor Traffic Conditions
75,L1,0.0,0.04672084,0.011310637,0.02586814,1.25,12.126383,LOW,Monitor Traffic Conditions
75,L16,0.0,0.011421926,0.0059707547,0.015903782,1.25,8.498423,LOW,Monitor Traffic Conditions
75,L3,0.0,0.009095192,0.00451374,0.0069697723,1.25,7.764221,LOW,Monitor Traffic Conditions
80,L19,0.0,0.017290607,0.00077356945,0.012687638,1.3333333333333333,8.810151,LOW,Monitor Traffic Conditions
80,L13,0.0,0.00023035705,0.0029365597,0.009413406,1.3333333333333333,7.1489344,LOW,Monitor Traffic Conditions
80,L6,0.0,0.08403594,0.0014344832,0.12824759,1.3333333333333333,21.45491,LOW,Monitor Traffic Conditions
80,L17,0.0,0.0322645,0.020450773,0.028110515,1.3333333333333333,11.018778,LOW,Monitor Traffic Conditions
80,L18,0.054466058,0.0001039803,0.006428888,0.008204751,1.3333333333333333,7.0657887,LOW,Monitor Traffic Conditions
80,L1,0.0,0.08608117,0.023965633,0.03684415,1.3333333333333333,16.163706,LOW,Monitor Traffic Conditions
80,L16,0.0,0.02758862,0.00450623,0.024336547,1.3333333333333333,10.391421,LOW,Monitor Traffic Conditions
80,L3,0.0,0.008366361,0.018550646,0.0084952265,1.3333333333333333,7.7928557,LOW,Monitor Traffic Conditions
85,L19,0.0,0.02813007,0.0008712044,0.023913715,1.4166666666666667,10.412641,LOW,Monitor Traffic Conditions
85,L13,0.0,0.0046269596,0.013578773,0.018724643,1.4166666666666667,8.083488,LOW,Monitor Traffic Conditions
85,L6,0.0,-0.0064515024,0.12058671,0.047071196,1.4166666666666667,8.827327,LOW,Monitor Traffic Conditions
85,L17,0.025883287,0.043443605,0.06702266,0.03502686,1.4166666666666667,12.392673,LOW,Monitor Traffic Conditions
85,L18,0.21454942,0.0015339851,0.0063387635,0.0151557475,1.4166666666666667,7.6043606,LOW,Monitor Traffic Conditions
85,L1,0.008277094,0.09622007,0.0972895,0.04349389,1.4166666666666667,17.432304,LOW,Monitor Traffic Conditions
85,L16,0.07250893,0.041999355,0.03897138,0.03435416,1.4166666666666667,12.228385,LOW,Monitor Traffic Conditions
85,L3,0.0,0.015014701,0.044356324,0.015290894,1.4166666666666667,8.770366,LOW,Monitor Traffic Conditions
90,L19,0.0,0.0073500127,0.0013368482,-0.0024720132,1.5,7.0496025,LOW,Monitor Traffic Conditions
90,L13,0.0,0.0040887147,0.00030041533,7.4118376e-05,1.5,6.921759,LOW,Monitor Traffic Conditions
90,L6,0.4994839,0.46703443,0.60566735,0.6009549,1.5,82.62527,CRITICAL,Full Detour + Emergency Response
90,L17,0.0,0.0070023537,0.0004356022,0.006540209,1.5,7.5587654,LOW,Monitor Traffic Conditions
90,L18,0.0,-0.0023941472,0.0012842756,0.004932806,1.5,6.6555166,LOW,Monitor Traffic Conditions
90,L1,0.0,0.033917278,0.00047315413,0.011571534,1.5,10.171538,LOW,Monitor Traffic Conditions
90,L16,0.007840413,0.03114812,0.027743354,0.011053406,1.5,9.902694,LOW,Monitor Traffic Conditions
90,L3,0.0,0.012268849,0.03704872,0.07421112,1.5,12.058556,LOW,Monitor Traffic Conditions
95,L19,0.0,0.007908814,0.0019752309,-0.0013926178,1.5833333333333333,7.16216,LOW,Monitor Traffic Conditions
95,L13,0.0,0.0070500076,0.0014945662,-0.0009306222,1.5833333333333333,7.116024,LOW,Monitor Traffic Conditions
95,L6,0.49962285,0.4552246,0.5005445,0.58819574,1.5833333333333333,80.84773,CRITICAL,Full Detour + Emergency Response
95,L17,0.0,0.0071625933,0.000105145366,0.010648049,1.5833333333333333,7.8182206,LOW,Monitor Traffic Conditions
95,L18,0.0,0.0052886754,0.004866728,0.00018340349,1.5833333333333333,7.0313663,LOW,Monitor Traffic Conditions
95,L1,0.0,0.0433062,0.0,0.0073290467,1.5833333333333333,10.724253,LOW,Monitor Traffic Conditions
95,L16,0.0,0.018612772,0.00549009,0.011562541,1.5833333333333333,8.856426,LOW,Monitor Traffic Conditions
95,L3,0.0,0.010914929,0.0043860637,0.008969061,1.5833333333333333,8.040106,LOW,Monitor Traffic Conditions
100,L19,0.0,0.005475767,0.0046113753,0.0011843964,1.6666666666666667,7.1073065,LOW,Monitor Traffic Conditions
100,L13,0.0,0.0061655715,0.0010139017,0.00086793303,1.6666666666666667,7.147629,LOW,Monitor Traffic Conditions
100,L6,0.49525607,0.35543597,0.5453364,0.49587822,1.6666666666666667,66.754875,HIGH,Diversion Route + Signal Retiming
100,L17,0.0,0.014526829,0.0005407476,0.014347132,1.6666666666666667,8.672012,LOW,Monitor Traffic Conditions
100,L18,0.0,0.005204901,0.0025385094,0.000927642,1.6666666666666667,7.068683,LOW,Monitor Traffic Conditions
100,L1,0.0,0.063421704,0.011310637,0.016649708,1.6666666666666667,13.00954,LOW,Monitor Traffic Conditions
100,L16,0.0015085351,0.0070089325,0.006331253,0.013436254,1.6666666666666667,7.971786,LOW,Monitor Traffic Conditions
100,L3,0.0,0.012669839,0.009357938,0.009802319,1.6666666666666667,8.240681,LOW,Monitor Traffic Conditions
105,L19,0.0,0.009854786,0.0012467236,0.0106613785,1.75,8.050262,LOW,Monitor Traffic Conditions
105,L13,0.0,0.004010983,0.00072099676,0.0040369704,1.75,7.152103,LOW,Monitor Traffic Conditions
105,L6,0.49982136,0.22084233,0.70644164,0.4045016,1.75,49.728718,MODERATE,Activate VMS + Traveler Information
105,L17,0.0,0.03468334,0.0001351869,0.026555728,1.75,11.133552,LOW,Monitor Traffic Conditions
105,L18,0.0,0.004279904,0.0031618713,0.0037901253,1.75,7.160438,LOW,Monitor Traffic Conditions
105,L1,0.0,0.08507817,0.00033796724,0.03362549,1.75,15.885043,LOW,Monitor Traffic Conditions
105,L16,0.009229853,0.023054466,0.035584196,0.021058276,1.75,9.805887,LOW,Monitor Traffic Conditions
105,L3,0.0,0.010849543,0.010259183,0.009409085,1.75,8.060807,LOW,Monitor Traffic Conditions
110,L19,0.0,0.015018828,0.00096132903,0.015958153,1.8333333333333333,8.810629,LOW,Monitor Traffic Conditions
110,L13,0.0,0.009728372,0.0026962275,0.013834253,1.8333333333333333,8.229176,LOW,Monitor Traffic Conditions
110,L6,0.0,-0.023630355,0.0013668897,0.024820957,1.8333333333333333,6.020959,LOW,Monitor Traffic Conditions
110,L17,0.0,0.03893286,0.012084207,0.031098507,1.8333333333333333,11.7702675,LOW,Monitor Traffic Conditions
110,L18,0.07963478,0.0041322783,0.0014720351,0.009287156,1.8333333333333333,7.4765368,LOW,Monitor Traffic Conditions
110,L1,0.0,0.07673652,0.029733608,0.031980477,1.8333333333333333,15.07015,LOW,Monitor Traffic Conditions
110,L16,0.0022628028,0.026499428,0.00451374,0.026142906,1.8333333333333333,10.405907,LOW,Monitor Traffic Conditions
110,L3,0.0,0.0160975,0.023026835,0.013538983,1.8333333333333333,8.758589,LOW,Monitor Traffic Conditions
115,L19,0.0,0.020003095,0.001254234,0.020391129,1.9166666666666667,9.503889,LOW,Monitor Traffic Conditions
115,L13,0.03392219,0.006937638,0.017333964,0.017091058,1.9166666666666667,8.1842575,LOW,Monitor Traffic Conditions
115,L6,0.0,-0.0012145787,0.1105228,0.05348117,1.9166666666666667,9.660533,LOW,Monitor Traffic Conditions
115,L17,0.0015680826,0.042619355,0.039474573,0.035442665,1.9166666666666667,12.346744,LOW,Monitor Traffic Conditions
115,L18,0.08973799,0.0037285537,0.062050786,0.0123943165,1.9166666666666667,7.6277003,LOW,Monitor Traffic Conditions
115,L1,0.011492656,0.07526348,0.09060526,0.04102138,1.9166666666666667,15.4843645,LOW,Monitor Traffic Conditions
115,L16,0.19255657,0.035134695,0.082651764,0.032741725,1.9166666666666667,11.542307,LOW,Monitor Traffic Conditions
115,L3,0.0,0.022116072,0.062937014,0.018395074,1.9166666666666667,9.565998,LOW,Monitor Traffic Conditions
120,L19,0.0,0.0034108683,0.0017574297,0.0018470809,2.0,6.969578,LOW,Monitor Traffic Conditions
120,L13,0.0,-0.0063126385,0.0010514536,0.009401269,2.0,6.5861998,LOW,Monitor Traffic Conditions
120,L6,0.5133783,0.4651635,0.7116614,0.5918905,2.0,81.92242,CRITICAL,Full Detour + Emergency Response
120,L17,0.0,0.0063220486,0.00049568526,0.009225115,2.0,7.6609163,LOW,Monitor Traffic Conditions
120,L18,0.0,-0.0057106838,0.0044611674,0.009513453,2.0,6.644614,LOW,Monitor Traffic Conditions
120,L1,0.0,0.00935889,0.011310637,0.016797516,2.0,8.374673,LOW,Monitor Traffic Conditions
120,L16,0.0,0.077855,0.02079625,0.053918093,2.0,16.478321,LOW,Monitor Traffic Conditions
120,L3,0.0,0.0094724,0.18317074,0.15515622,2.0,16.659718,LOW,Monitor Traffic Conditions
125,L19,0.0,0.006269522,0.0016898362,0.0015246421,2.0833333333333335,7.1958356,LOW,Monitor Traffic Conditions
125,L13,0.0,0.0016961843,0.0020953969,0.0047855154,2.0833333333333335,6.998044,LOW,Monitor Traffic Conditions
125,L6,0.49565303,0.4964446,0.6280558,0.62303156,2.0833333333333335,86.471855,CRITICAL,Full Detour + Emergency Response
125,L17,0.0,0.012366049,0.0,0.015626881,2.0833333333333335,8.562956,LOW,Monitor Traffic Conditions
125,L18,0.0,-0.0008851364,0.00392042,0.006711714,2.0833333333333335,6.89153,LOW,Monitor Traffic Conditions
125,L1,0.0,0.015719533,0.0,0.01340897,2.0833333333333335,8.718348,LOW,Monitor Traffic Conditions
125,L16,0.0,0.045578912,0.0105821295,0.01907136,2.0833333333333335,11.6217785,LOW,Monitor Traffic Conditions
125,L3,0.0,0.024623722,0.026361445,0.073967904,2.0833333333333335,13.105226,LOW,Monitor Traffic Conditions
130,L19,0.0,0.0036096945,0.0008561837,0.0032825395,2.1666666666666665,7.072511,LOW,Monitor Traffic Conditions
130,L13,0.0,0.003498055,0.00086369406,0.0046069175,2.1666666666666665,7.142134,LOW,Monitor Traffic Conditions
130,L6,0.5042279,0.40402502,0.5684008,0.5794256,2.1666666666666665,75.92541,CRITICAL,Full Detour + Emergency Response
130,L17,0.0,0.03056518,0.00040556068,0.022675421,2.1666666666666665,10.547741,LOW,Monitor Traffic Conditions
130,L18,0.0,0.0017712042,0.0013894208,0.0058474615,2.1666666666666665,7.0680037,LOW,Monitor Traffic Conditions
130,L1,0.0,0.027864017,0.011310637,0.016919725,2.1666666666666665,9.971475,LOW,Monitor Traffic Conditions
130,L16,0.0,0.016524084,0.0031243195,0.019883715,2.1666666666666665,9.174712,LOW,Monitor Traffic Conditions
130,L3,0.0,0.024608381,0.011445824,0.019649103,2.1666666666666665,9.855078,LOW,Monitor Traffic Conditions
135,L19,0.0,0.0077537447,0.004160752,0.010240555,2.25,7.8446245,LOW,Monitor Traffic Conditions
135,L13,0.0,0.0020807758,0.0007134864,0.005104728,2.25,7.0501714,LOW,Monitor Traffic Conditions
135,L6,0.49654624,0.25221312,0.58852863,0.45654827,2.25,55.536236,HIGH,Diversion Route + Signal Retiming
135,L17,0.0,0.036188282,0.00039053994,0.029898264,2.25,11.462736,LOW,Monitor Traffic Conditions
135,L18,0.0,0.0020477995,0.0022981772,0.005750917,2.25,7.085988,LOW,Monitor Traffic Conditions
135,L1,0.0,0.056162186,0.011310637,0.02985204,2.25,13.175623,LOW,Monitor Traffic Conditions
135,L16,0.0,0.013556868,0.008396609,0.021912701,2.25,9.041199,LOW,Monitor Traffic Conditions
135,L3,0.0,0.017442234,0.009034991,0.012891781,2.25,8.835385,LOW,Monitor Traffic Conditions
140,L19,0.0,0.015410908,0.000450623,0.017612085,2.3333333333333335,8.943229,LOW,Monitor Traffic Conditions
140,L13,0.0,0.0033562481,0.0041081794,0.011178702,2.3333333333333335,7.5230145,LOW,Monitor Traffic Conditions
140,L6,0.0,0.04101354,0.0019451892,0.076461665,2.3333333333333335,14.662176,LOW,Monitor Traffic Conditions
140,L17,0.0,0.04407362,0.01588446,0.036036763,2.3333333333333335,12.507192,LOW,Monitor Traffic Conditions
140,L18,0.076081775,0.0009922758,0.0014720351,0.008365117,2.3333333333333335,7.1516795,LOW,Monitor Traffic Conditions
140,L1,0.0,0.1018642,0.02607605,0.044877954,2.3333333333333335,17.999887,LOW,Monitor Traffic Conditions
140,L16,0.0038507343,0.032471098,0.0032294646,0.030174438,2.3333333333333335,11.159968,LOW,Monitor Traffic Conditions
140,L3,0.0,0.020432375,0.016357614,0.014683228,2.3333333333333335,9.199369,LOW,Monitor Traffic Conditions
145,L19,0.0,0.021305814,0.001216682,0.020474121,2.4166666666666665,9.6207485,LOW,Monitor Traffic Conditions
145,L13,0.0,0.007009402,0.007562956,0.018651817,2.4166666666666665,8.283771,LOW,Monitor Traffic Conditions
145,L6,0.0,0.004718967,0.12958415,0.05362442,2.4166666666666665,10.1787615,LOW,Monitor Traffic Conditions
145,L17,0.018102422,0.05053044,0.043447565,0.03946081,2.4166666666666665,13.266592,LOW,Monitor Traffic Conditions
145,L18,0.3407106,0.0038320124,0.011310637,0.014714498,2.4166666666666665,7.7753572,LOW,Monitor Traffic Conditions
